id,emoji,description,ocurrences
7361,👉,backhand index pointing right,1
7361,📷,camera,1
7366,🔥,fire,3
7367,👉,backhand index pointing right,1
7367,💬,speech balloon,1
7367,📷,camera,1
7370,♟️,chess pawn,1
7372,🧙,mage,1
7373,🤪,zany face,1
7382,🙏,folded hands,1
7384,🤞,crossed fingers,1
7385,📸,camera with flash,1
7385,♟,chess pawn,1
7385,🔥,fire,1
7385,⌛,hourglass done,1
7404,😅,grinning face with sweat,1
7410,😂,face with tears of joy,1
7411,💯,hundred points,1
7412,😅,grinning face with sweat,2
7422,👏,clapping hands,2
7425,✋,raised hand,2
7425,❤️,red heart,1
7425,💔,broken heart,1
7426,👑,crown,1
7438,📷,camera,1
7439,🚨,police car light,1
7446,🔥,fire,4
7449,🏆,trophy,1
7459,👏,clapping hands,1
7461,🤩,star-struck,2
7466,👉,backhand index pointing right,1
7466,💬,speech balloon,1
7466,📷,camera,1
7472,♟️,chess pawn,1
7473,🔥,fire,1
7477,😔,pensive face,1
7477,🤯,exploding head,1
7491,👉,backhand index pointing right,1
7491,📷,camera,1
7498,😅,grinning face with sweat,1
7504,🇺🇸,flag: United States,1
7505,🇬🇭,flag: Ghana,1
7508,🚨,police car light,1
7510,📸,camera with flash,1
7510,👉,backhand index pointing right,1
7510,💬,speech balloon,1
7512,🇬🇧,flag: United Kingdom,1
7531,😍,smiling face with heart-eyes,1
7538,🥴,woozy face,1
7539,📷,camera,1
7542,📷,camera,1
7546,🚨,police car light,3
7548,♟️,chess pawn,1
7549,🙃,upside-down face,1
7551,😅,grinning face with sweat,1
7561,🧐,face with monocle,1
7562,😬,grimacing face,1
7575,😢,crying face,1
7578,❤,red heart,1
7584,🚨,police car light,1
7589,😁,beaming face with smiling eyes,1
7589,❤️,red heart,1
7589,🍿,popcorn,1
7594,🎙️,studio microphone,1
7594,⚡,high voltage,1
7597,💔,broken heart,1
7599,📷,camera,1
7602,❤️,red heart,1
7605,📷,camera,1
7605,💔,broken heart,1
7609,👏,clapping hands,1
7611,😄,grinning face with smiling eyes,2
7619,😥,sad but relieved face,1
7624,👑,crown,1
7637,😉,winking face,1
7640,👉,backhand index pointing right,1
7640,📷,camera,1
7640,🤔,thinking face,1
7641,💔,broken heart,1
7643,📷,camera,1
7647,😉,winking face,1
7660,😃,grinning face with big eyes,1
7661,😂,face with tears of joy,1
7662,😄,grinning face with smiling eyes,1
7667,🤴🏻,prince: light skin tone,1
7672,♟️,chess pawn,1
7672,🐻,bear,1
7673,😍,smiling face with heart-eyes,1
7674,🤣,rolling on the floor laughing,1
7678,😒,unamused face,1
7678,😂,face with tears of joy,1
7694,🐐,goat,1
7694,♟️,chess pawn,1
7695,📷,camera,1
7717,😏,smirking face,1
7720,💢,anger symbol,1
7724,😔,pensive face,1
7736,↖,up-left arrow,1
7736,😵‍💫,face with spiral eyes,1
7736,🤘,sign of the horns,2
7736,👕,t-shirt,1
7736,👉,backhand index pointing right,1
7736,👖,jeans,1
7745,📸,camera with flash,1
7745,✍️,writing hand,1
7751,🍀,four leaf clover,1
7752,🙂,slightly smiling face,1
7752,😉,winking face,1
7752,🙃,upside-down face,1
7754,♟️,chess pawn,1
7754,◻️,white medium square,1
7755,➡️,right arrow,1
7759,😮,face with open mouth,1
7768,❤️,red heart,1
7777,🎙️,studio microphone,1
7778,🥰,smiling face with hearts,2
7779,🇷🇺,flag: Russia,1
7779,🇨🇳,flag: China,1
7781,🔥,fire,1
7782,🤔,thinking face,1
7788,📣,megaphone,1
7791,🙏🏻,folded hands: light skin tone,1
7801,💪,flexed biceps,1
7801,😂,face with tears of joy,1
7816,📷,camera,1
7817,😂,face with tears of joy,1
7822,♟️,chess pawn,1
7826,😍,smiling face with heart-eyes,1
7830,😲,astonished face,1
7833,😇,smiling face with halo,1
7834,😵‍💫,face with spiral eyes,1
7838,♟️,chess pawn,1
7838,‼️,double exclamation mark,1
7839,😪,sleepy face,1
7840,📷,camera,1
7844,😂,face with tears of joy,2
7847,📷,camera,1
7849,🤣,rolling on the floor laughing,1
7851,🔥,fire,1
7859,⬇️,down arrow,1
7861,⬇️,down arrow,1
7862,🎙️,studio microphone,1
7862,♟,chess pawn,1
7862,🔹,small blue diamond,2
7862,🏆,trophy,1
7864,😂,face with tears of joy,1
7866,✊,raised fist,1
7871,📣,megaphone,1
7879,👌,OK hand,1
7880,💯,hundred points,1
7880,🔥,fire,1
7881,♟️,chess pawn,1
7891,🖤,black heart,1
7891,😁,beaming face with smiling eyes,1
7891,♟️,chess pawn,1
7892,📷,camera,1
7896,♟️,chess pawn,1
7896,◻️,white medium square,1
7898,♟️,chess pawn,1
7906,👏,clapping hands,1
7906,😂,face with tears of joy,1
7907,📷,camera,1
7919,😅,grinning face with sweat,1
7944,👌,OK hand,3
7945,♟️,chess pawn,1
7945,🔥,fire,1
7955,😁,beaming face with smiling eyes,1
7957,🥉,3rd place medal,1
7957,🥇,1st place medal,1
7957,🥈,2nd place medal,1
7960,😱,face screaming in fear,3
7962,😎,smiling face with sunglasses,1
7966,🥲,smiling face with tear,1
7966,😓,downcast face with sweat,1
7967,♟,chess pawn,1
7967,📷,camera,1
7977,😎,smiling face with sunglasses,1
7983,😭,loudly crying face,1
7983,💔,broken heart,2
7985,✅,check mark button,1
7991,🐟,fish,1
7997,😏,smirking face,1
7999,💫,dizzy,1
8000,👑,crown,1
8001,🤯,exploding head,1
8001,🔥,fire,1
8015,🗣️,speaking head,1
8015,🤙,call me hand,1
8017,⬅️,left arrow,1
8017,➡️,right arrow,1
8019,🥊,boxing glove,1
8031,🏆,trophy,1
8036,👉🏽,backhand index pointing right: medium skin tone,1
8049,♥️,heart suit,1
8060,❤️,red heart,1
8089,🥋,martial arts uniform,1
8089,🇨🇳,flag: China,1
8089,📖,open book,1
8089,🤪,zany face,1
8089,🤴🏽,prince: medium skin tone,1
8089,♟️,chess pawn,2
8089,❗,red exclamation mark,2
8089,🎥,movie camera,1
8089,🏆,trophy,1
8092,🏆,trophy,1
8092,📷,camera,1
8098,♟️,chess pawn,1
8105,😃,grinning face with big eyes,1
8118,🚨,police car light,1
8124,🤔,thinking face,1
8128,♟️,chess pawn,1
8129,🤔,thinking face,2
8134,🎩,top hat,3
8134,👊🏻,oncoming fist: light skin tone,3
8137,🕵️‍♂️,man detective,1
8150,🇬🇭,flag: Ghana,1
8153,🇨🇳,flag: China,1
8153,♟️,chess pawn,1
8153,🥇,1st place medal,1
8160,👉,backhand index pointing right,1
8160,🚨,police car light,1
8194,🕊️,dove,1
8196,👏,clapping hands,1
8199,😭,loudly crying face,1
8199,💀,skull,1
8202,✔️,check mark,1
8202,❤️,red heart,1
8202,🙏,folded hands,3
8202,🔥,fire,4
8212,📸,camera with flash,1
8213,🛐,place of worship,1
8213,🙌,raising hands,1
8218,👑,crown,1
8222,😳,flushed face,1
8227,😁,beaming face with smiling eyes,1
8235,🎉,party popper,1
8235,🗣️,speaking head,1
8235,🍾,bottle with popping cork,1
8241,🧠,brain,1
8241,♟️,chess pawn,1
8241,🙌🏻,raising hands: light skin tone,1
8241,💐,bouquet,1
8242,🥊,boxing glove,1
8242,👏🏼,clapping hands: medium-light skin tone,1
8249,👏,clapping hands,2
8255,💖,sparkling heart,1
8255,🙌🏻,raising hands: light skin tone,1
8256,💯,hundred points,1
8264,😞,disappointed face,1
8264,💔,broken heart,1
8265,👑,crown,1
8271,💥,collision,2
8271,💪,flexed biceps,2
8276,😄,grinning face with smiling eyes,1
8287,🇨🇳,flag: China,1
8304,🏆,trophy,1
8307,🥰,smiling face with hearts,1
8307,💕,two hearts,1
8309,🌺,hibiscus,1
8315,📷,camera,1
8317,♟️,chess pawn,1
8321,🍪,cookie,1
8325,📷,camera,1
8329,😂,face with tears of joy,3
8337,😎,smiling face with sunglasses,1
8339,😎,smiling face with sunglasses,1
8351,🏆,trophy,1
8353,🎵,musical note,1
8355,😊,smiling face with smiling eyes,1
8356,📸,camera with flash,1
8356,🚀,rocket,1
8360,🥺,pleading face,1
8360,☀️,sun,1
8360,💯,hundred points,1
8360,🙏,folded hands,1
8364,😴,sleeping face,3
8364,😂,face with tears of joy,3
8366,♟️,chess pawn,1
8369,😉,winking face,1
8373,✨,sparkles,1
8382,✅,check mark button,3
8382,⚡,high voltage,2
8391,♟️,chess pawn,1
8398,🎯,bullseye,1
8400,👏,clapping hands,3
8404,😊,smiling face with smiling eyes,1
8420,🇨🇳,flag: China,1
8420,🇦🇿,flag: Azerbaijan,1
8420,🇺🇲,flag: U.S. Outlying Islands,1
8420,🇲🇽,flag: Mexico,1
8420,🇮🇹,flag: Italy,1
8426,🇬🇭,flag: Ghana,1
8432,😲,astonished face,1
8436,😵,knocked-out face,1
