topic,word,peso
0,shakira,0.9113461611202215
0,song,0.3146966451208681
0,session,0.08711759768081863
0,@shakira,0.07879082361390408
0,listen,0.07860054635284977
0,love,0.05830423768458775
0,music,0.04949698763402686
0,#shakira,0.0478080041304405
0,singing,0.04427649316839628
0,play,0.040945263411775575
1,piqu,0.935423076220062
1,clara,0.18575400904285122
1,photo,0.13913924192565055
1,gerard,0.09654776516731416
1,cha,0.09625173090766892
1,league,0.05120764090359601
1,chia,0.047457481778569205
1,uploaded,0.04252683432105552
1,unfaithful,0.04219896328097202
1,girlfriend,0.0412941724566771
2,piqu,0.7157977912165249
2,shakira,0.6358217983508133
2,song,0.16926697294275472
2,clara,0.08287375557203921
2,gerard,0.06945623500388357
2,#shakira,0.04459758951371026
2,children,0.04366238784613831
2,mother,0.039796858588547125
2,video,0.03658541102879623
2,thing,0.036244533676317546
3,peak,0.3271105608786463
3,today,0.2938261593596897
3,spike,0.2606335034412464
3,dick,0.24423523421308324
3,day,0.23607163172142145
3,mood,0.21103021922456291
3,rush,0.16292618881251747
3,energy,0.14207878618181904
3,nerve,0.1356963045202091
3,work,0.13548421168762284
4,miley,0.7161086400143716
4,shakira,0.532375481944951
4,cyrus,0.2752205270877534
4,song,0.26313126365967526
4,flowers,0.13220372054282548
4,love,0.05912305529802879
4,@mileycyrus,0.055130874898833365
4,music,0.04970155375704982
4,taylor,0.041352237518063995
4,listen,0.04051220087552768
5,shakira,0.570558121512082
5,casio,0.5255152800523075
5,twingo,0.31820097063642416
5,rolex,0.3063697407057976
5,ferrari,0.19323590114597478
5,piqu,0.17854954498173747
5,song,0.14786298814520696
5,watch,0.1279454015224464
5,#shakira,0.09877356604708308
5,traded,0.09306357771638944
6,shakira,0.6788697053033256
6,women,0.6200426985056856
6,money,0.17525613024440212
6,billing,0.174448638129295
6,@shakira,0.1065048591961446
6,song,0.09617229822935446
6,#shakira,0.08007299879475266
6,crying,0.073321442245107
6,invoice,0.07316390814552459
6,tax,0.06927257762816925
7,stings,0.772726532301828
7,stung,0.37914698823385756
7,itch,0.27299967597852653
7,itchy,0.23866363425751597
7,bite,0.09356211208354884
7,mosquito,0.08893937337075672
7,eyes,0.06771103442899713
7,damn,0.06718100334625614
7,scratch,0.0652947678629053
7,bitten,0.06405272455157597
8,shakira,0.5274401236975781
8,spotify,0.32853059131090806
8,session,0.25181602691980914
8,music,0.23180601317211963
8,bzrp,0.2259985522740304
8,song,0.21488058366495277
8,artist,0.1844322069511224
8,@shakira,0.1655726766597011
8,listen,0.1621422977184398
8,latin,0.1502681666835242
9,shakira,0.4305001447953543
9,#shakira,0.25913729767783217
9,piqu,0.21169662582583404
9,#pique,0.19015759163417942
9,fonasa,0.18798033948440085
9,#fiestadelosabrazos,0.1856738322514634
9,mackenna,0.18106081778558852
9,isapres,0.1519708983412562
9,#missuniverse2022,0.14877474508309863
9,#ladivinacomida,0.1475251563150035
10,pike,0.9884923238049736
10,today,0.05480031831411712
10,play,0.04303951940652121
10,good,0.025022976399140237
10,day,0.024772746635148835
10,start,0.019768151355320788
10,time,0.019405980830951963
10,hide,0.01795887016878303
10,morning,0.017600080624861455
10,love,0.017265853715406763
11,gelato,0.820525822233285
11,piqu,0.3797198543201773
11,bag,0.18962870732275514
11,gelapique,0.14747015833261898
11,lucky,0.1214909845801996
11,loungewear,0.11173597891748163
11,rakuten,0.10214988771900185
11,pajamas,0.08306064199904561
11,amazon,0.06968823027033146
11,sale,0.06424799522289072
12,shakira,0.7699939295481135
12,clara,0.4766048244218113
12,song,0.17668950716120305
12,cha,0.15450572666102502
12,chia,0.15207979651476897
12,paquita,0.09224005375686335
12,#shakira,0.09164090689382406
12,@shakira,0.08678801783468783
12,sanz,0.07677378236944601
12,barrio,0.07157857453515193
13,,0.6223197498730628
13,love,0.3002254865498227
13,dick,0.21993070181698945
13,pick,0.18365347265130047
13,friends,0.15707161216845025
13,mother,0.15417822395417816
13,click,0.14874354743015938
13,pic,0.1409025848769199
13,deserve,0.12016832161134475
13,spike,0.10896756730850046
14,piqu,0.681993328509021
14,twingo,0.4353521985700239
14,casio,0.4069207599869
14,league,0.16326838651780806
14,shakira,0.14428433572348395
14,gerard,0.13178728040359233
14,kings,0.124254219607836
14,sponsor,0.10714491762271151
14,arrived,0.10257093536859878
14,agreement,0.09207683744056828
15,shakira,0.6649498623628618
15,jelly,0.4804692639280208
15,jam,0.42941490872212135
15,eat,0.15733260124188736
15,strawberry,0.1543752142587371
15,ate,0.12911381107935244
15,jar,0.12686511574163026
15,discovered,0.10025670253847017
15,cheated,0.0821160892379883
15,betrayed,0.07813627653155164
16,@c,0.6181169857560995
16,@casio0ficia,0.3691902845659623
16,raffle,0.3132998440608873
16,costs,0.26981683257953926
16,participate,0.2573769908291591
16,rolex,0.2573769908291591
16,casio,0.20550613260001005
16,follow,0.18832111727287845
16,watch,0.18832111727287845
16,shakira,0.180306189353677
17,shakira,0.893520241226359
17,@youtube,0.18270340627308776
17,video,0.1284714586975983
17,hd,0.10959244205931903
17,official,0.10457770729435999
17,featuring,0.08920778299208093
17,music,0.08395722520150063
17,song,0.08123656096268854
17,#nowplaying,0.07858221180851542
17,rihanna,0.07246291272971782
18,grammy,0.4931262869813795
18,museum,0.45350022993164446
18,shakira,0.408795888861532
18,exhibition,0.35585392780207703
18,music,0.19712451651880283
18,bzrp,0.1667937041012449
18,session,0.15504698438209405
18,interact,0.13645224609225942
18,@bizarrap,0.13445198677154782
18,@shakira,0.13374281858913456
19,karol,0.6733205930950292
19,shakira,0.521585859209586
19,song,0.24494618326782353
19,collaboration,0.23746810050660644
19,release,0.18214301651656525
19,arol,0.12444652024503167
19,music,0.11690739712588054
19,@karolg,0.11315978904494772
19,@popbase,0.08225373281596376
19,#karolg,0.0814746384478997
20,booed,0.8268727709158467
20,piqu,0.4571869163434013
20,esland,0.18075748672725547
20,#esland2023,0.15974077238133863
