x,y,id
6.7788787,-0.32891303,1401557
8.156799,1.1899928,1434568
10.063694,1.5055631,1337000
6.7416706,-0.88911265,1426608
11.863951,0.94220203,1322672
8.435754,-10.115293,1369963
7.8790126,-2.5719523,1357224
9.969605,0.12022996,1426834
13.324942,2.844559,1443283
9.678954,-0.15142903,1409279
9.283181,-1.4574064,1332180
8.165126,-2.9542096,1331805
9.214705,-0.5836643,1357886
7.81325,-2.4483864,1361042
8.005934,0.13248374,1384070
6.3560147,-0.32305276,1384543
9.47001,-2.0017807,1398467
7.940894,-2.2154832,1439718
12.401415,1.7267468,1357356
10.489891,0.84732467,1394319
10.5925255,0.49574202,1357404
10.993248,1.964338,1440204
7.6486278,0.52012426,1441301
8.441004,-0.7213885,1354423
8.714314,0.09366158,1357480
8.81206,-2.4693346,1331071
8.957841,1.0144203,1433403
8.0381775,-3.0568573,1377626
9.709403,1.7288504,1408008
8.168457,-3.0182128,1376750
13.25466,1.6258144,1339348
8.306237,0.23405766,1398348
8.849803,-0.22201984,1339456
13.708986,0.47431016,1351915
6.5965705,-0.63096255,1440310
9.155307,-2.3564656,1324294
8.844618,0.23800828,1376256
7.9555664,-10.848745,1412954
9.149312,-1.7897044,1398672
9.244523,-1.4343716,1401794
8.438441,-10.115366,1370006
7.967729,-0.26640618,1330712
8.240636,0.3622089,1341356
6.6495905,-1.3714103,1400676
10.857402,1.5033503,1423205
10.527454,-0.73977464,1362272
12.965743,2.1035564,1412528
8.952507,0.09184059,1410468
10.690065,1.8736598,1410466
6.687897,-0.13216475,1356307
13.0989065,1.7473643,1340808
10.609104,-1.428821,1390676
11.427108,0.35231435,1402308
10.639874,-1.4535986,1436966
10.677843,-0.48055598,1332121
7.9849195,-0.21882322,1424996
7.771815,-1.317102,1426192
10.110524,-0.74446315,1435832
7.0150304,0.3956236,1376945
9.378826,1.0716445,1424552
8.514553,-0.13424583,1396031
6.3412604,-0.31951556,1381989
8.536566,0.65696335,1331588
14.586921,5.443292,1330540
8.017458,-3.0813086,1402236
8.397749,0.33038348,1392552
8.994078,-0.020185743,1328847
10.959367,1.9714422,1330962
13.1531925,2.1291213,1396353
6.880343,-0.54256773,1376698
8.729946,-2.4847398,1354969
10.137004,-0.5891476,1408013
9.50651,-1.9870158,1422883
9.032135,-1.8926255,1328908
10.607506,-1.4217969,1389980
8.451447,-1.7134228,1331084
10.087672,1.5415486,1338976
8.749949,-0.79368037,1376941
9.700204,5.6577353,1442404
7.782076,-2.1463304,1399562
12.706777,2.11195,1392298
8.31741,-2.5198607,1425138
6.852028,0.25966892,1339575
9.317872,1.206498,1410414
12.6888,3.223163,1332500
8.717365,0.26177537,1402660
7.9791403,-3.0429525,1357311
10.710209,-0.4369946,1330904
9.1491995,-1.4531343,1401767
12.741989,2.099114,1355506
13.529985,1.9362708,1355468
9.672454,-0.666703,1331976
9.8806,-1.2383299,1328110
7.5548897,-0.25905317,1339194
12.233435,3.7198133,1446944
10.639463,-0.82737726,1324099
8.717364,-1.6379558,1435953
9.557422,-1.9597126,1383311
10.640964,-0.8996436,1377904
8.0247965,0.19734876,1433164
13.307155,2.1086159,1402773
11.354404,-0.4198228,1422353
14.363144,5.2018795,1409227
9.54181,7.6772223,1331926
