topic,word,peso
0,piqu,0.929457999832359
0,clara,0.17284601871987287
0,photo,0.16095867186001667
0,gerard,0.10645371896374412
0,cha,0.09465902372988502
0,league,0.05847456857678539
0,chia,0.053361955668600844
0,uploaded,0.045861884575744284
0,unfaithful,0.04530558692399819
0,player,0.04173259110980276
1,piqu,0.7085795343861214
1,shakira,0.6434667427920341
1,song,0.1695521221307253
1,clara,0.07430974470727879
1,gerard,0.06779414952752096
1,#shakira,0.04969267222887858
1,children,0.039673878890193366
1,mother,0.038012445694791765
1,thing,0.037929367755354576
1,video,0.034142774233662083
2,stings,0.3944490092050807
2,spike,0.239762650529694
2,peak,0.22470540241342685
2,today,0.20864972340093874
2,dick,0.18062500026435685
2,day,0.17868512089660243
2,piqu,0.16797043469647327
2,rush,0.1623271046719727
2,stung,0.15806179220416425
2,pickle,0.15574426736284555
3,shakira,0.9070409945637423
3,song,0.24048017490150597
3,cheated,0.12093198894719544
3,betrayed,0.08059289813476705
3,people,0.0753010269711892
3,women,0.06537763581994722
3,woman,0.06275085580932434
3,love,0.05767432715342525
3,thing,0.05618091054402706
3,guys,0.05539864470100896
4,shakira,0.9383894531783721
4,@shakira,0.265053557136577
4,#shakira,0.11609689284513568
4,song,0.07483497442227344
4,love,0.06985499329960436
4,queen,0.06343938177084404
4,@bizarrap,0.04076058305647484
4,@3gerardpique,0.02679278200908471
4,time,0.021861238105256933
4,thing,0.021759942002272922
5,miley,0.6938120691373281
5,shakira,0.564310339935642
5,song,0.2747598643506185
5,cyrus,0.2499196100258982
5,flowers,0.13351709921543084
5,love,0.06618815472901024
5,@mileycyrus,0.05176468984427468
5,music,0.04880329130335249
5,#mileycyrus,0.046209535802123
5,listen,0.042874158627890256
6,shakira,0.7104422272855014
6,women,0.5762034722932515
6,money,0.1935151754626926
6,billing,0.14826353511259702
6,song,0.11231567014882134
6,@shakira,0.09952605430519798
6,#shakira,0.07947634100596573
6,crying,0.07416838776904001
6,invoice,0.07127045061991777
6,tax,0.06542244089214755
7,pike,0.9853909431916189
7,today,0.05707521889108929
7,play,0.04814876285599003
7,good,0.027049866773028102
7,day,0.02470100688004269
7,hide,0.021596776288826506
7,time,0.021091656625520774
7,purity,0.02066313783810851
7,#bbb23,0.020408840042365303
7,start,0.019475904076580234
8,shakira,0.49845679602290854
8,spotify,0.33259662654099637
8,song,0.22114369456852773
8,session,0.2172112230123928
8,music,0.19862917511015463
8,monthly,0.18878780558243413
8,artist,0.1856261483868959
8,bzrp,0.1820647388041575
8,latin,0.18076949260498962
8,listen,0.17223741018133643
9,shakira,0.716881550917623
9,song,0.660657370132725
9,good,0.10833142773534522
9,love,0.1046323058126749
9,listen,0.09217412992074686
9,catchy,0.03370022961201656
9,music,0.03144253634269776
9,time,0.029873367001387575
9,great,0.029064529392409694
9,@shakira,0.024941235155025623
10,shakira,0.36657408233504735
10,fonasa,0.22899470983646691
10,#fiestadelosabrazos,0.2261849587955287
10,mackenna,0.22056545671365219
10,isapres,0.20813221668107396
10,#ladivinacomida,0.20370695046802273
10,piqu,0.1713487669742488
10,olmue,0.156548039017212
10,matthei,0.15453422057668925
10,#missuniverse2022,0.15284336812569427
11,shakira,0.7564571871153505
11,session,0.337206787631001
11,bzrp,0.33412840226748736
11,bizarrap,0.32091054882355485
11,song,0.20997076924978683
11,biza,0.10955901688449482
11,listen,0.10109495652721395
11,barp,0.05007848484702899
11,music,0.043758186129737
11,good,0.04018608930281971
12,shakira,0.8070853232429003
12,song,0.3432544097736156
12,listen,0.3062372723196954
12,singing,0.19614537701349463
12,day,0.10093213469712807
12,play,0.09091924874014282
12,session,0.07767356929734388
12,stening,0.06958098470414002
12,dance,0.06868995943576468
12,time,0.06791460726953229
13,shakira,0.7270280388575068
13,mom,0.4092018765761378
13,song,0.37606538530198597
13,listen,0.18048680542371232
13,singing,0.1571669487629998
13,dad,0.13901859711130765
13,session,0.1184960742366635
13,mother,0.11140050092907888
13,play,0.08728009285576026
13,bzrp,0.08118506981893125
14,shakira,0.8878089341239973
14,song,0.24281701264362437
14,concert,0.14730772997350844
14,@shakira,0.12395668736973572
14,release,0.11012680902683132
14,album,0.10903624223561058
14,tour,0.09938170575361953
14,coming,0.08093039919181091
14,singing,0.07463206882120058
14,rbd,0.06960620509930755
15,song,0.6905978603738444
15,shakira,0.687145668767169
15,listen,0.09681738790976059
15,bad,0.08564576066310657
15,good,0.05752881255285316
15,sick,0.0509725344586707
15,horrible,0.04355752246969508
15,music,0.04139268220266264
15,tired,0.03632412715979349
15,love,0.031921475257985596
16,shakira,0.6503160632360523
16,jam,0.46589022518804707
16,jelly,0.4305558696201098
16,strawberry,0.208009390539794
16,jar,0.15496822758857512
16,eat,0.13485731567339906
16,ate,0.13137910767555375
16,discovered,0.10971342561198753
16,cheated,0.08630562052174048
16,betrayed,0.08506678386353368
17,shakira,0.7553182084383087
17,session,0.5876092657266938
17,play,0.12579622246805253
17,sessio,0.11396105609822194
17,listen,0.10066666535700837
17,song,0.09300598881305074
17,ibiza,0.08847557076996941
17,good,0.05210976205796351
17,love,0.04356050422032887
17,time,0.04245691878812875
18,@c,0.6569572037181738
18,@casio0ficia,0.3748842490096154
18,raffle,0.31304824761298533
18,participate,0.26802995463609436
18,costs,0.23916596529943898
18,rolex,0.2204045404839734
18,casio,0.1834633993272002
18,follow,0.17879974520675707
18,watch,0.1742638786443006
18,time,0.1698489830577433
19,piqu,0.6884472053570326
19,twingo,0.4789010953633046
19,casio,0.37929303961366734
19,league,0.15752730350084657
19,gerard,0.1252705308801121
19,kings,0.12214658437352718
19,arrived,0.11384983524626872
19,ferrari,0.08881736499879042
19,renault,0.08493302356822853
19,sponsor,0.08308945016187651
20,twingo,0.6375367926911095
20,shakira,0.5108472759029933
20,ferrari,0.4094244500249849
20,traded,0.17512785240911635
20,renault,0.1300645093866037
20,car,0.10766576509402766
20,casio,0.10710527664392105
