topic,word,weight
0,@fide_chess,0.0524025186020006
0,@phchess,0.015346928330329605
0,chess,0.01310934131544795
0,@europeechecs,0.007022670183487162
0,@chessdom,0.00691407219095901
0,@ecuonline,0.006907003520047115
0,@susanpolgar,0.006328875031091693
0,@chesscom,0.00598311310500964
0,@vishy64theking,0.005812861919094731
0,player,0.005201803745558972
1,#nepoding,0.0547860989063256
1,#chess,0.03599782056894254
1,chess,0.02978017235238809
1,game,0.019786178360706362
1,#worldchesschampionship,0.013578228794175943
1,play,0.013256979950417924
1,championship,0.011895831509851702
1,@fide_chess,0.00991568023785217
1,match,0.008843714806733015
1,white,0.007814709100447051
2,ding,0.06364031979120972
2,#nepoding,0.05371169362110578
2,liren,0.026137651286475168
2,game,0.025177356384893337
2,play,0.014408033924700093
2,#worldchesschampionship,0.012367349595052902
2,ian,0.012232541177142132
2,win,0.01023079878497253
2,#chess,0.009646800765713712
2,match,0.008588437218786738
3,nepo,0.05953163086508854
3,#nepoding,0.04567841604785919
3,ding,0.03877882642048183
3,game,0.025192866866090277
3,#worldchesschampionship,0.013956630764859406
3,epo,0.013607725764653918
3,@fide_chess,0.011802251519277081
3,match,0.010865564890763027
3,championship,0.010087294463648155
3,chess,0.009770842967704887
4,#nepoding,0.08925562700876821
4,game,0.04840983159797598
4,#worldchesschampionship,0.024870790894442496
4,match,0.020319273606570668
4,championship,0.011858674383806103
4,watch,0.008041220583858073
4,ding,0.006989830120660309
4,draw,0.0066427474388392775
4,recap,0.006588152435447835
4,player,0.006014504987544917
5,game,0.04625871190987125
5,#nepoding,0.045123528795518585
5,championship,0.03142736279963139
5,nepomniachtchi,0.02977948609852712
5,ding,0.027140041630848145
5,liren,0.021097089042019082
5,ian,0.020598458763803344
5,chess,0.018910862198286534
5,match,0.017381824415262297
5,draw,0.013773229115515047
6,ding,0.049207970252244625
6,champion,0.03442561793995655
6,chess,0.03244847096367526
6,liren,0.03221586543705393
6,#nepoding,0.028684966239721
6,@fide_chess,0.02022393502674669
6,#worldchesschampionship,0.0167631547013141
6,#chess,0.015654222322673945
6,championship,0.014026183201115856
6,congratulations,0.013510655792357338
7,@fide_chess,0.03134787078152584
7,chess,0.023361260195293828
7,magnus,0.021112641504027238
7,champion,0.0186298657253609
7,championship,0.01623943077460933
7,#nepoding,0.015866469978784107
7,play,0.011680630097646914
7,match,0.011549215551088466
7,game,0.010620298453540974
7,#worldchesschampionship,0.009899327615218684
8,#nepoding,0.028189550442474967
8,#glazersout,0.024191516598407008
8,#cskvspbks,0.017005930823458002
8,#azerbaijangp,0.016771251671894524
8,#motogp,0.015415256868131211
8,#konnecthaixchaeunwoo,0.01511000425688109
8,#lufc,0.013891582108115681
8,#cadizvalencia,0.011741136828027495
8,#bts,0.011519605944479807
8,#_,0.011294346616254551
9,#nepoding,0.15243019713275827
9,ding,0.02760494177408984
9,code,0.009573116693325869
9,temu,0.007184202393798126
9,today,0.006441153080620962
9,live,0.005442447507134941
9,ian,0.005327617228185205
9,moment,0.005327617228185205
9,#glazersout,0.0047246084799086475
9,undeniable,0.004697346112470264
10,wc,0.093404766769464
10,@fischer_random,0.062087783248346656
10,inaugural,0.057367659375665334
10,renounced,0.05022735825746359
10,@gmwesleyso123,0.04549386147959103
10,@fide_chess,0.04503243166573368
10,#saynoto2900,0.044355394766782005
10,#9lx,0.044355394766782005
10,#chess9lx,0.044355394766782005
10,#fischerrandom,0.044355394766782005
11,wildcard,0.1537789085929698
11,wfrcc,0.08838366153063673
11,frc,0.07784460279706236
11,runner,0.06630664989265764
11,@andriybar,0.052315832349118865
11,@advorkovich,0.04851469972524513
11,@gmwesleyso123,0.04748563181614955
11,virtue,0.04159609713762995
11,@fide_chess,0.04078875141109615
11,@gmhikaru,0.03509913081218769
12,list,0.05116974732089323
12,accused,0.03977370080432497
12,veselin,0.03896310551658111
12,role,0.033932781554677355
12,@kasparov63,0.032891549787475306
12,topalov,0.029760944499597694
12,kramnik,0.029482804831377156
12,@gmwesleyso123,0.028987532874745724
12,model,0.028648385826715538
12,@magnuscarlsen,0.027285803059275353
