x,y,id
8.1537,7.9582834,1488481
-21.206718,10.220033,1456881
7.794884,8.750378,1455135
8.883857,6.528397,1468874
9.307102,-3.2037792,1482597
4.574276,2.3034918,1457592
4.454677,12.715913,1517857
8.778861,8.134556,1478791
-2.0137167,5.9052424,1523344
6.2541094,7.8887606,1504641
8.907666,6.9832373,1497201
6.4334574,7.571752,1497690
8.130141,5.9744453,1527526
14.599162,4.8362303,1494665
14.232551,4.328776,1458256
7.9182754,6.981498,1516038
20.278337,14.9571085,1473861
8.084123,7.287309,1484102
9.480964,8.58798,1505840
5.7618904,7.999838,1503768
7.025538,7.1234117,1496239
7.52129,7.360712,1459340
24.538868,3.3138926,1474332
4.458955,4.6690674,1474251
6.121369,7.707662,1497213
9.672523,9.74702,1458493
20.27706,-11.977122,1494158
7.352321,6.2315607,1473921
7.008565,6.981698,1478516
7.311022,7.460448,1482059
7.586154,8.394695,1491467
10.137085,9.371889,1454485
6.022123,7.731114,1495437
19.384249,9.653587,1489098
-21.140463,10.258593,1501735
8.956299,5.4388976,1509411
6.159032,7.7718863,1503399
12.094094,-15.090952,1458466
7.2423964,6.8537555,1497657
6.680752,7.388413,1476173
8.812822,1.3277451,1474050
2.9180365,7.532668,1474109
7.22717,6.83164,1469144
-21.182865,10.245635,1456835
15.295503,20.26312,1468285
6.5431905,9.695834,1474570
9.306165,-3.2028453,1455779
10.718742,7.79628,1458188
5.92314,7.9319944,1497193
19.911058,-11.535631,1497954
9.307623,-3.2043116,1477677
7.974392,6.7215123,1498423
15.561915,9.418749,1502432
16.717287,26.83446,1474107
7.01031,8.486856,1503428
8.387562,7.725461,1510824
5.350959,5.0363693,1473570
8.97565,5.4086404,1525470
-21.190971,10.2925205,1458319
8.817406,6.8209023,1455602
7.486101,8.277666,1520870
20.282549,-11.980834,1493074
6.8652577,7.041892,1510475
6.5774875,7.431227,1497719
7.31636,7.0853415,1462019
26.321253,37.80644,1473896
8.813078,1.3269683,1473864
4.4375253,4.6653957,1474100
11.086413,0.54240423,1473950
7.37092,6.4959736,1497856
6.0814867,7.7422404,1484395
9.809128,9.50795,1507101
8.89659,6.9755306,1471556
6.9093857,7.8469,1459471
12.39572,8.701747,1456505
21.19525,4.841086,1458544
8.9456625,1.2140224,1479018
6.884227,8.012683,1519156
7.891479,6.3603916,1484581
6.8672185,7.072845,1509156
6.1650505,7.7429247,1495168
8.205036,6.307056,1471806
20.279669,-11.978818,1497528
5.5744357,8.061498,1501360
5.610554,8.0278425,1504891
7.401152,6.9475045,1526268
8.04854,7.0782275,1525311
-21.179369,10.309692,1458427
