token,count,word
negreira,4183,negreira
barsa,4026,barsa
madrid,1659,madrid
case,1200,case
refere,1001,referee
play,950,play
today,783,today
arbitr,594,arbitration
win,555,win
game,546,game
barcelona,518,barcelona
goal,511,goal
bara,504,bara
thing,496,thing
egreira,487,egreira
team,479,team
real,459,real
bar,404,bar
match,392,match
year,348,year
corrupt,331,corruption
enrquez,313,enrquez
beat,300,beat
cta,280,cta
leagu,278,league
yellow,275,yellow
gavi,269,gavi
time,256,time
estrada,245,estrada
footbal,239,football
