id,person
1331672,ding liren
1331713,ding liren
1331762,ding liren
1331762,nepo
1331787,ding liren
1331806,ding liren
1331837,ding liren
1331844,ding liren
1331888,big vlad
1331894,giri
1331969,nepo
1331969,ding liren
1331974,garry
1331974,magnus
1331974,veselin
1331974,magnus
1331974,ding liren
1332031,ian nepomniachtchi
1332031,ding liren
1332052,ding liren
1332052,nepo
1332055,ding liren
1332055,nepo
1332063,ding liren
1332063,nepo
1332064,ding liren
1332064,nepo
1332100,ding liren
1332100,nepo
1332104,ian
1332115,daniil dubov
1332124,ding liren
1332124,nepo
1332138,victor llaneza vega
1332168,ding
1332171,victor llaneza vega
1332203,daniil dubov
1332206,ding liren
1332206,ding
1332217,van reek
1332222,nepomniachtchi
1332244,daniil dubov
1332251,nepo
1332251,giri
1332294,ding
1332324,ian nepomniachtchi
1332381,ding liren
1332419,irina krush
1332423,anish giri
1332423,david howell
1332424,ding liren
1332425,ding liren
1332426,abdusattorov
1332426,caruana
1332449,khalifman
1332449,kasimdzhanov
1332508,nepomniachtchi
1332508,milan din
1332535,nepo
1332535,nepomnjaschtschi
1332548,nepomniachtchi
1332550,irina krush
1332550,ding
1332550,nepo
1332572,nd7
1332572,nepomniachtchi
1332574,giri
1332574,nepomniachtchi
1332578,ding
1332684,nepo
1332684,ding
1332781,ding liren
1332867,wesley
1332867,hikaru
1332867,magnus
1332920,richard rapport
1332920,ding liren
1332914,hans niemann
1332936,nepo
1332942,pravin thipsay
1332942,ding liren
1332942,d guke
1332979,ding
1332979,fischer
1332986,nepo
1333233,vladimirkramnik
1333435,ding liren
1333588,nepo
1334281,ding liren
1334584,gukesh
1334584,giri
1334584,menorca
1334679,daniil dubov
1334679,daniil
1335034,xadrez
1335042,ding liren
1335107,magnus
1335107,magnus
1335257,ding
1335257,nepo
1335450,ding liren
1336330,dingliren
1336330,iannepo
1336566,ding liren
1336858,ding liren
1336895,vladimirkramnik
1336948,ding liren
1336966,ding liren
1337058,nepo
1337066,ding
1337066,nepo
1337142,lana del rey
1337142,magnus
1337153,ding liren
1337174,nepo
1337235,ding liren
1337377,miguel
1337466,nepo
1337483,ding liren
1337505,doyou
1337535,ding liren
1337535,david llada
1337593,ding liren
1337632,ding
1337715,ding
1337715,ding
1337725,frank ocean
1337727,nepo
1337727,ding
1337787,ding liren
1337879,nepo
1337879,nepo
1337879,nepomnjaschtschi
1337888,daniil dubov
1337888,irina krush
1337967,ding
1338032,peter
1338074,ian nepomniachtchi
1338074,stev bonhage
1338142,ding liren
1338163,ding
1338163,anish
1338206,daniil dubov
1338206,daniil
1338276,liren
1338316,ding liren
1338353,ian nepomniachtchi
1338353,ding liren
1338390,nepo
1338390,ding
1338418,ding liren
1338492,ding liren
1338496,ding liren
1338496,david llada
1338518,ding liren
1338523,ding liren
1338550,peter
1338580,nepo
1338613,jonathan rowson
1338707,ding liren
1338716,ding liren
1338743,ding liren
1338761,ding
1338761,nepo
1338786,platov
1338807,stev bonhage
1338816,ajedrez
1338824,ding
1338834,ding liren
1338923,ding liren
1338936,ding liren
1338942,ding liren
1338942,david llada
1338953,ding liren
1338957,ding liren
1338957,david llada
1339008,ding liren
1339049,ding liren
1339052,ding liren
1339052,david llada
1339057,nepo
1339059,nepomniachtchi
1339059,steve bonhage
1339061,ding liren
1339061,david llada
1339075,ding liren
1339076,ding liren
1339100,ding liren
1339104,emil sutovsky
1339107,emil sutovsky
1339112,emil sutovsky
1339115,ding liren
1339121,ding liren
1339121,richard
1339125,ding liren
1339153,ding
1339153,magnus carlsen
1339179,ding liren
1339190,ding liren
1339200,ding liren
1339200,david llada
1339208,ding
1339215,ding liren
1339216,ding liren
1339235,ding liren
1339235,david llada
1339246,kubbel
1339283,ding liren
1339285,stev bonhage
1339288,ding liren
1339295,ian nepomniachtchi
1339299,ding liren
1339299,david llada
1339326,ding
1339326,nepo
1339338,ding liren
1339338,david llada
1339343,ding liren
1339343,david llada
1339358,ding liren
1339365,ding liren
1339365,david llada
1339373,ding liren
1339394,ding liren
1339394,david llada
1339433,nepo
1339433,ding
1339433,magnus carlsen
1339465,magnus
1339496,ding liren
1339543,ding liren
1339547,ding liren
1339557,ding liren
1339573,ding
1339573,nepo
1339574,ding liren
1339585,ding liren
1339586,ding liren
1339597,ding
1339597,nepo
1339615,ding liren
1339620,ding liren
1339624,ding liren
1339638,magnus
1339655,ding liren
1339656,ding liren
1339669,ding
1339669,nepo
1339698,ding
1339698,ian nepomniachtchi
1339698,liren ding
1339713,nepo
1339713,nepo
1339725,ding
1339725,nepo
1339733,ding
1339733,nepo
1339734,ding liren
1339752,ding liren
1339767,ding
1339767,nepo
1339804,ding
1339804,nepo
1339821,ian nepomniachtchi
1339823,ding
1339868,ian nepomniachtchi
1339913,ding liren
1339919,ding liren
1339934,ding
1339971,ding liren
1339980,ding liren
1339993,ding liren
1339999,ding liren
1340004,ding liren
1340011,ding liren
1340014,daniil dubov
1340046,ding liren
1340048,ding liren
1340100,luisón
1340100,nepo
1340100,ding liren
1340170,ding liren
1340180,dana reizniece
1340180,ozola
1340184,anish giri
1340184,ding liren
1340192,ajedrez
1340201,keres
1340201,giri
1340240,ding liren
1340261,ding liren
1340269,daniil dubov
1340269,irina krush
1340396,ding liren
1340411,irina krush
1340411,daniil dubov
1340475,ding liren
1340476,liren
1340487,miguel
1340552,dingliren
1340552,ian
1340552,nepomniachtchi
1340659,vishwanathan anand
1340676,stev bonhage
1340676,david llada
1340676,ding liren
1340726,doyou
1340758,nepoding
1340777,ding
1340809,doyou
1340828,magnus
1340843,ding liren
1340865,doyou
1340887,emil sutovsky
1340922,rapport
1341022,ian
1341022,nepomniachtchi
1341024,ian
1341024,nepomniachtchi
1341033,mikhail tal
1341054,ian
1341054,nepomniachtchi
1341062,daniil dubov
1341062,irina krush
1341096,liren
1341107,ian nepomniachtchi
1341107,ding
1341107,black
1341159,daniil dubov
1341159,irina krush
1341196,jonathan rowson
1341197,daniil dubov
1341197,irina krush
1341209,ding liren
1341218,jonathan rowson
1341219,daniil dubov
1341219,irina krush
1341224,liren
1341300,ian nepomniachtchi
1341300,vladimir kramnik
1341313,ding le ren
1341324,daniil dubov
1341324,irina krush
1341327,daniil dubov
1341327,irina krush
1341340,ding liren
1341347,ding
1341347,nepo
1341365,iannepomniachtchi
1341440,ian
1341464,iannepomniachtchi
1341464,ding
1341469,ding liren
1341469,ajedrez
1342977,alphazero
1342977,ding
1344407,horowitz
1344514,beliavsky
1345319,fischer
1345582,nepo
1345617,beliavsky
1345962,magnus
1346247,christopher yoo
1346641,balanovsky
1346868,nepo
1346944,mc luison
1347229,beliavsky
1347296,sam loyd
1347330,horowitz
1347463,ding
1347463,nepo
1347604,richard #rapport
1347604,polyánszky
1347955,peter
1348135,liren
1348135,ian nepomniachtchi
1348135,ganan blancas
1348135,ajedrez
1348136,botvinnik
1348136,smyslov
1348146,alejandro ramirez
1348146,magnus carlsen
1348146,alejandro ramirez
1348291,richard rapport
1348291,ding liren
1348297,ding liren
1348314,ding liren
1348456,magnus
1348507,nepomniachtchi
1348546,bobbyfischer
1348740,ding
1348740,hou yifan
1348762,ding liren
1348789,bobby fischer
1348903,nepo
1348984,ding liren
1349026,ding
1349715,bobby fischer
1349775,stev bonhage
1350612,richard rapport
1350994,ding liren
1351079,ding liren
1351210,ding liren
1351243,ding liren
1351659,ian nepomniachtchi
1351763,ding liren
1351814,ian nepomniachtchi
1351848,matous
1351850,matous
1351929,maguire
1351929,eriksen
1351929,franklinnyamsi
1352136,bartosz soćko
1352136,radek wojtaszek
1352136,wasko hetman
1352151,nepomniachtchi
1352231,ding liren
1352260,ding liren
1352381,timman
1352458,magnus carlsen
1352458,magnus
1352765,ian nepomniachtchi
1352838,radjabov
1352838,radja
1353085,anish giri
1353100,ian nepomniachtchi
1353141,anand
1353145,magnus
1353145,nepo
1353695,ding liren
1353695,ian nepomniachtchi
1353749,ian
1353770,bishop
1353770,rook
1353770,nepo
1353805,richard rapport
1353855,stev bonhage
1353914,matous
1353927,nepo
1353927,ding liren
1353927,nepo
1353927,nepomniachtchi
1353927,nepomnjaschtschi
1354030,dubov
1354030,magnus
1354030,magnus
1354121,stev bonhage
1354297,richard rapport
1354383,ding liren
1354389,richard rapport
1354405,ding liren
1354405,nepo
1354579,ian nepomniachtchi
1354645,ian nepomniachtchi
1354656,ding liren
1354677,ding liren
1354711,ian
1354897,ian
1354914,ding liren
1354914,david llada
1354927,ian nepomniachtchi
1355002,ian nepomniachtchi
1355002,david llada
1355033,ding liren
1355053,ding liren
1355191,magnus
1355229,nepoding
1355229,tanya
1355277,ding liren
1355313,dingliren
1355313,ding
1355345,ian
1355350,ding liren
