topic,word,weight
0,#nepoding,0.03578715691697668
0,@fide_chess,0.025609345706527366
0,ding,0.023967640261716834
0,game,0.015495349647415233
0,chess,0.015084886248954897
0,liren,0.01340590940806385
0,championship,0.010535960821368087
0,#worldchesschampionship,0.009584718519210434
0,#chess,0.008782235030772308
0,champion,0.008701833714823321
1,#nepoding,0.04602295883408625
1,#glazersout,0.027515871022024463
1,#cskvspbks,0.02109084530114565
1,#motogp,0.019135402690443407
1,tweet,0.01717996007974116
1,#lufc,0.014805494052459862
1,#kvmant,0.013995589229008018
1,#konnecthaixchaeunwoo,0.01382777274710874
1,#azerbaijangp,0.01382777274710874
1,#sundayvibes,0.013269074858336666
2,wc,0.12777564309110467
2,@fide_chess,0.0472158183622554
2,@fischer_random,0.04468228009934335
2,#9lx,0.043898380448477686
2,#chess960,0.043898380448477686
2,#chess9lx,0.043898380448477686
2,#chessdrama,0.043898380448477686
2,#fischerrandom,0.043898380448477686
2,#saynoto2900,0.043898380448477686
2,fair,0.041807981379502555
3,wildcard,0.1315747935094151
3,wfrcc,0.0839824863313635
3,frc,0.06660463149700205
3,runner,0.0518675392437263
3,@fide_chess,0.04648490201848494
3,@gmwesleyso123,0.04512102526498722
3,@vishy64theking,0.04329531904039236
3,@fabianocaruana,0.04277368869050812
3,wcc,0.042512873515566
3,candidates,0.042512873515566
