topic,word,weight
0,@fide_chess,0.02970211965313595
0,#nepoding,0.02688750490286997
0,game,0.019387707024016435
0,ding,0.01842301883957237
0,liren,0.01102301948779063
0,play,0.010181374068898748
0,chess,0.009659628127663225
0,ian,0.008995083147853168
0,nepomniachtchi,0.008681218232305554
0,match,0.008551448152060083
1,fide,0.1531366128657893
1,bonhage,0.13614942249780082
1,liren,0.13614942249780082
1,stev,0.13614942249780082
1,champion,0.1226147853321574
1,@fide_chess,0.12209742336873058
1,ding,0.11053488914756711
1,#nepoding,0.0761267366587203
1,hildesheim,0.0005808283377884647
1,#trophy,0.0005808283377884647
2,turin,0.14592928943294867
2,juventus,0.12812054706933598
2,club,0.12303639837610836
2,favourite,0.12303639837610836
2,liren,0.09886542037613527
2,@chess24com,0.0953062652425944
2,game,0.08594556039345391
2,ding,0.08026532967468336
2,#nepoding,0.05550083790503259
2,code,0.006609393301195904
3,thousandwords,0.13730278817380973
3,picture,0.11993238862276881
3,worth,0.11779073882593365
3,photo,0.11242142999042606
3,bonhage,0.09328732681401311
3,stev,0.09245440425317371
3,@fide_chess,0.09237942534297008
3,#nepoding,0.05262649893743189
3,@ecuonline,0.008566599187340629
3,@susanpolgar,0.008566599187340629
4,crying,0.3945680032479256
4,dance,0.17215568705397297
4,@chessmike,0.15155138542559915
4,#nepoding,0.11393814825103482
4,@riga_niki,0.07378100873741698
4,#fulmci,0.0037735590503897793
4,@fortuneebel,0.0037735590503897793
4,church,0.0032078699451050866
4,brother,0.002806507137511095
4,decrying,0.0025157060335931863
5,@chessproblem,0.4909023712147474
5,#nepoding,0.23769229601981193
5,thumb,0.01706808276635462
5,game,0.015203075052355247
5,complex,0.014509429691076279
5,challenge,0.014509429691076279
5,war,0.014509429691076279
5,moves,0.012694036443515171
5,@chessmike,0.01057836370292931
5,@davidllada,0.01057836370292931
6,@chesscom,0.5996078350172415
6,#nepoding,0.34462162228970555
6,@chesscom_es,0.015684189357060827
6,area,0.0035854417741813835
6,board,0.0035854417741813835
6,comfy,0.0035854417741813835
6,fabi,0.0035854417741813835
6,rest,0.0035854417741813835
6,sofa,0.0035854417741813835
6,solution,0.0035854417741813835
7,months,0.14560236463082143
7,unbelievable,0.14560236463082143
7,final,0.14560236463082143
7,emotional,0.12858096565948557
7,@photochess,0.1279829146564182
7,@chesscom,0.1132542720960189
7,chess,0.08505914770867228
7,#nepoding,0.06540622442104553
7,#chess,0.0017848031127993247
7,#chessworldchampionship,0.0013671583533410464
8,qudaibergen,0.11177052646401386
8,play,0.11177052646401386
8,grandparents,0.11177052646401386
8,enjoy,0.11177052646401386
8,dimash,0.11177052646401386
8,@dimash_official,0.11124080832911333
8,htt,0.11018137205931225
8,@fide_chess,0.0777058962766498
8,chess,0.06469890238614308
8,#nepoding,0.048841419422496056
9,soul,0.1262108568393404
9,deepest,0.1262108568393404
9,reflection,0.1256069771415445
9,match,0.09770120699904909
9,liren,0.09676177231636593
9,ding,0.07893879925301277
9,@photochess,0.057058924705478214
9,#nepoding,0.05515403602445478
9,champion,0.04724526505081803
9,bonhage,0.044153430086108725
