id,emoji,description,ocurrences
1328167,😍,smiling face with heart-eyes,1
1328192,😍,smiling face with heart-eyes,1
1328261,🥰,smiling face with hearts,1
1328414,💥,collision,1
1328449,✅,check mark button,2
1328523,😍,smiling face with heart-eyes,1
1328528,😍,smiling face with heart-eyes,1
1328544,📷,camera,1
1328578,😍,smiling face with heart-eyes,1
1328767,🔥,fire,1
1328769,💥,collision,1
1328773,😍,smiling face with heart-eyes,1
1328847,📸,camera with flash,1
1328847,👉,backhand index pointing right,1
1328850,💥,collision,1
1328914,😍,smiling face with heart-eyes,1
1328950,🥰,smiling face with hearts,1
1328957,👌,OK hand,1
1329004,📕,closed book,1
1329024,🥰,smiling face with hearts,1
1329118,😍,smiling face with heart-eyes,1
1329129,💥,collision,1
1329159,💥,collision,1
1329144,😍,smiling face with heart-eyes,1
1329192,😍,smiling face with heart-eyes,1
1329200,🥰,smiling face with hearts,1
1329219,🚨,police car light,1
1329225,💥,collision,1
1329229,🥰,smiling face with hearts,1
1329283,😍,smiling face with heart-eyes,1
1329291,💥,collision,1
1329337,😁,beaming face with smiling eyes,1
1329353,💥,collision,1
1329356,💥,collision,1
1329403,🔥,fire,1
1329406,😔,pensive face,1
1329415,😍,smiling face with heart-eyes,1
1329417,📷,camera,1
1329417,👏,clapping hands,1
1329417,👌,OK hand,1
1329422,♟️,chess pawn,1
1329447,😔,pensive face,1
1329451,😍,smiling face with heart-eyes,1
1329455,🔥,fire,1
1329530,❤️,red heart,1
1329539,😁,beaming face with smiling eyes,1
1329561,☕,hot beverage,1
1329678,🥰,smiling face with hearts,1
1329694,📸,camera with flash,1
1329694,👉,backhand index pointing right,1
1329725,👌,OK hand,1
1329741,🥰,smiling face with hearts,1
1329767,😍,smiling face with heart-eyes,1
1329789,🔥,fire,1
1329831,😍,smiling face with heart-eyes,1
1329857,😍,smiling face with heart-eyes,1
1329880,🔥,fire,1
1329886,🥰,smiling face with hearts,1
1329919,😍,smiling face with heart-eyes,1
1329925,🚨,police car light,1
1329938,😍,smiling face with heart-eyes,1
1329984,🎺,trumpet,6
1330071,📸,camera with flash,1
1330071,✍️,writing hand,1
1330078,🥰,smiling face with hearts,1
1330128,😍,smiling face with heart-eyes,1
