topic,word,peso
0,piqu,0.9355297808275251
0,clara,0.1715947029622338
0,photo,0.14079125074527082
0,gerard,0.09612937362049337
0,cha,0.09177629269580143
0,league,0.05864500930422842
0,chia,0.04774747333950903
0,unfaithful,0.04460687404963477
0,player,0.04308694223349071
0,uploaded,0.04135877795640915
1,piqu,0.7124556565417997
1,shakira,0.6453161127627062
1,song,0.16506423383459193
1,clara,0.06298103384929357
1,gerard,0.048872666645845934
1,mother,0.04454240748267114
1,children,0.04349890071191209
1,thing,0.03963406744615908
1,#shakira,0.036598718092767324
1,video,0.03645752902884047
2,stings,0.4325006355238878
2,spike,0.2475157528910827
2,peak,0.24561869207998047
2,today,0.21775769292023694
2,dick,0.18954716006425723
2,day,0.1810256123351151
2,stung,0.17506777186577002
2,mood,0.16505262468582885
2,rush,0.1445302479975953
2,itch,0.13784941950176213
3,shakira,0.9058933331310794
3,song,0.23263142456959338
3,cheated,0.12427157545566378
3,betrayed,0.08200521791716904
3,people,0.08054990752592824
3,women,0.06793632310565925
3,woman,0.06572341355824364
3,thing,0.05923618474825245
3,guys,0.0577265247000567
3,love,0.055929310356966515
4,shakira,0.9892861041680765
4,song,0.06785584616185372
4,queen,0.062342743429707366
4,@shakira,0.03944567493093682
4,love,0.02480010621143892
4,session,0.023149674285181915
4,quee,0.019680378990735308
4,video,0.019438657796717638
4,music,0.01636118118115762
4,real,0.01486966729640985
5,miley,0.7032095884632861
5,shakira,0.5506132095681752
5,song,0.26618243226244603
5,cyrus,0.2652803083106464
5,flowers,0.13603278847579117
5,love,0.06447362593012744
5,@mileycyrus,0.04969525075817801
5,music,0.04520688295601591
5,#mileycyrus,0.04494414797394116
5,listen,0.043624946660035364
6,shakira,0.6796981947123472
6,women,0.6131811464948167
6,money,0.19622455414635323
6,billing,0.15990481793819653
6,@shakira,0.09656566470274068
6,song,0.09284082923785969
6,invoice,0.08113849487654441
6,#shakira,0.07600075462715701
6,crying,0.07468050944337043
6,treasury,0.06996225899479558
7,shakira,0.7534040817379336
7,song,0.5145187940116452
7,listen,0.22482886215811904
7,head,0.15906379114435307
7,addicted,0.15169001224929177
7,neighbor,0.1082161092644769
7,day,0.08697517901342741
7,singing,0.08347496762513482
7,time,0.07629742266133252
7,play,0.07390107339462654
8,@shakira,0.7657796886871984
8,shakira,0.43682853508058234
8,#shakira,0.34236956711003413
8,love,0.1377285296237412
8,@bizarrap,0.13219323375062203
8,@3gerardpique,0.07916188294459951
8,song,0.06556757128364277
