text_id,labels,type,text
1080830,-1,PERSON,Orsini
1080830,-1,PERSON,Daniela Aránguiz
1080830,-1,PERSON,Mago Valdivia
1080843,41,PERSON,González González
1080843,41,ORGANIZATION,Barcelona
1080843,41,ORGANIZATION,Real Madrid
1080843,41,PERSON,Negreira
1080793,-1,PERSON,Cesc Fábregas
1080793,-1,ORGANIZATION,Negreira
1080793,-1,ORGANIZATION,LaLiga
1080793,-1,ORGANIZATION,Atleti
1080888,4,PERSON,Jordi Mestre
1080888,4,ORGANIZATION,Barça
1080888,4,PERSON,Negreira
1080951,17,PERSON,barcelonistas
1080951,17,ORGANIZATION,Barcelona
1080951,17,PERSON,Negreira
1080853,26,PERSON,Negreira
1080853,26,PERSON,Medina Cantalejo
1080853,26,PERSON,Negreira
1081036,-1,PERSON,Tebas
1081036,-1,ORGANIZATION,Barça
1081036,-1,PERSON,Laporta
1080904,8,PERSON,Negreira
1081016,0,ORGANIZATION,Atlético
1081016,0,PERSON,Cholo
1081016,0,PERSON,Negreira
1081016,0,PERSON,Simeone
1080914,6,PERSON,Iker
1080914,6,PERSON,Negreira
1080965,0,ORGANIZATION,Barsa
1080923,0,PERSON,Mohra
1080923,0,ORGANIZATION,@SKFilmsOfficial
1080923,0,ORGANIZATION,ZEE5India
1080983,-1,ORGANIZATION,rfef
1080983,-1,PERSON,clos Gómez negreira
1080983,-1,PERSON,munuera montero negreira
1080983,-1,PERSON,González González negreira
1080983,-1,PERSON,Hernández Hernández negreira
1080983,-1,PERSON,deburgos bengoechea negreira
1080983,-1,ORGANIZATION,FCBarcelona
1081070,47,PERSON,Negreira
1080899,-1,PERSON,Negreira
1080899,-1,ORGANIZATION,MovistarPlus
1080899,-1,ORGANIZATION,FCBarcelona
1080899,-1,ORGANIZATION,LaLiga
1080899,-1,ORGANIZATION,rfef
1081051,9,PERSON,Negreira
1080915,14,ORGANIZATION,Fiscalía
1080915,14,ORGANIZATION,Audiencia Nacional
1080915,14,ORGANIZATION,F.C. Barcelona
1080915,14,PERSON,miguelpr83
1080915,14,ORGANIZATION,libertaddigital
1080948,0,ORGANIZATION,cristianismo
1080948,0,ORGANIZATION,Editora Barsa
1080917,10,ORGANIZATION,realmadrid
1080917,10,ORGANIZATION,Negreira Boys
1080917,10,PERSON,jotajordi13
1080907,-1,ORGANIZATION,MovistarPlus
1080907,-1,PERSON,Negreira
1081074,13,PERSON,pedropparrado
1080815,-1,PERSON,Michel Salgado
1080815,-1,PERSON,Negreira
1080815,-1,ORGANIZATION,Madrid.Vaya
1081090,-1,PERSON,Negreira
1081066,-1,ORGANIZATION,Negreira Boys
1081061,22,PERSON,Negreira
1081061,22,PERSON,Carlos Martínez
1081079,-1,PERSON,Negreira
1081079,-1,PERSON,Tito Berni
1080943,-1,PERSON,Negreira Jr
1080956,-1,PERSON,Alfredo Martinez
1080956,-1,ORGANIZATION,OndaCero
1081071,-1,PERSON,Negreira
1081071,-1,ORGANIZATION,PodcastPaquetes
1081071,-1,ORGANIZATION,Iborra
1081040,-1,ORGANIZATION,CTA
1081040,-1,ORGANIZATION,itu_edu
1081040,-1,PERSON,Negreira
1081019,-1,PERSON,Romario
1081019,-1,PERSON,Barsa
1081019,-1,ORGANIZATION,TV3
1081019,-1,PERSON,Minguella
1080931,8,PERSON,Negreira
