text_id,labels,type,text
1080846,0,PERSON,@Kyri84717261
1080862,0,PERSON,SETROI
1080862,0,PERSON,Negreira
1080862,0,ORGANIZATION,División
1080836,0,PERSON,NEGREIRA
1080836,0,PERSON,Sànchez
1080852,0,ORGANIZATION,Atlético de Madrid
1080852,0,PERSON,Vinicius
1080828,0,PERSON,Negreira
1080824,1,PERSON,Munuera
1080824,1,ORGANIZATION,Madrid
1080824,1,ORGANIZATION,Barsa
1080824,1,PERSON,barcelonistas
1080885,0,ORGANIZATION,Fiscalía
1080885,0,ORGANIZATION,Audiencia Nacional
1080885,0,ORGANIZATION,F.C. Barcelona
1080885,0,PERSON,miguelpr83
1080885,0,ORGANIZATION,libertaddigital
1080846,0,PERSON,@Officialsaucek3
1080846,0,PERSON,@Farhan73
1080846,0,PERSON,@Dragonwind15
1080846,0,PERSON,@Ndenge11
1080846,0,PERSON,@ConradBert4
1080846,0,PERSON,@melvind298
1080846,0,PERSON,@himtiazxo
1080846,0,PERSON,@barsa__01
1080846,0,PERSON,@buck_wild_23
1080846,0,PERSON,@Ciro11255003
1080841,0,PERSON,Núñez
1080841,0,PERSON,Gaspart
1080841,0,PERSON,Laporta
1080841,0,PERSON,Rosell
1080841,0,PERSON,Bartomeu
1080841,0,ORGANIZATION,'Caso Negreira'
1080877,0,PERSON,Negreira
1080840,0,ORGANIZATION,UnionistasCF
1080800,0,PERSON,JGALLEGOonfire
1080800,0,PERSON,Rubiales
1080800,0,PERSON,Medina Cantalejo
1080800,0,ORGANIZATION,'Caso
1080800,0,PERSON,Presidente
1080800,0,ORGANIZATION,RFEF
1080859,0,ORGANIZATION,PP
1080859,0,ORGANIZATION,Madrid
1080859,0,ORGANIZATION,España
1080859,0,ORGANIZATION,PSOE
1080859,0,ORGANIZATION,Barsa
1080804,0,EVENT,Negreira
1080816,0,PERSON,Barçagate
1080816,0,ORGANIZATION,Real Madrid
1080816,0,PERSON,Sergivalentin_
1080816,0,PERSON,CeltBucks
1080816,0,PERSON,pepegh7
1080816,0,PERSON,Isidoro San José
1080816,0,PERSON,MariaTrisac
1080855,0,PERSON,Embajador del Fútbol Rosarino
1080855,0,ORGANIZATION,FCBmasia
1080855,0,PERSON,Juan Cruz Bejarano
1080857,0,ORGANIZATION,UEFA
1080866,1,ORGANIZATION,Real madrid
1080808,1,PERSON,barsa
1080817,1,PERSON,Barsa
1080817,1,PERSON,tito Berni
1080817,1,PERSON,tito Negreira
1080864,0,ORGANIZATION,YouTube
1080833,0,PERSON,Negreira
1080802,0,ORGANIZATION,Gobierno
1080802,0,ORGANIZATION,Barsa
1080802,0,ORGANIZATION,Madrid
1080812,0,ORGANIZATION,Madrid
1080812,0,ORGANIZATION,Barsa
1080812,0,ORGANIZATION,Atleti
1080812,0,ORGANIZATION,Betis de Pelegrini
1080812,0,PERSON,Nabil Fekir
1080882,0,ORGANIZATION,F.C Palancas
1080882,0,PERSON,Negreira
1080823,0,ORGANIZATION,Barcelona
