id,topic,positive_score,neutral_score,negative_score
1394101,37,0.94036114,0.05599252,0.0036463581
1397278,6,0.9825326,0.015375777,0.0020915975
1397829,18,0.027595948,0.8258082,0.14659582
1401844,3,0.008150542,0.12843005,0.86341935
1394288,-1,0.3769463,0.559968,0.0630857
1393539,-1,0.607867,0.3887853,0.0033477684
1400476,1,0.011240108,0.14632319,0.8424367
1396736,25,0.3395139,0.65698946,0.0034966862
1400069,-1,0.7487603,0.24744219,0.0037975428
1391848,33,0.29122072,0.70491546,0.0038638446
1402676,3,0.18326114,0.7764212,0.04031767
1398630,-1,0.9904081,0.0077247415,0.0018671523
1397907,14,0.54248804,0.4524253,0.005086582
1402184,-1,0.8379124,0.16027093,0.0018166675
1400622,2,0.87492204,0.12045578,0.0046221856
1397830,-1,0.028840335,0.44108823,0.53007144
1402533,-1,0.20059317,0.7843101,0.015096777
1401751,19,0.9205854,0.07627631,0.0031383038
1401190,-1,0.9760523,0.020377325,0.003570443
1398699,14,0.542488,0.4524254,0.0050865817
1401932,3,0.060611613,0.9296324,0.009755955
1396137,14,0.542488,0.4524254,0.0050865817
1398773,-1,0.9794701,0.017801397,0.002728532
1400618,1,0.5502458,0.44206557,0.007688552
1401598,19,0.9205854,0.07627631,0.0031383038
1399369,18,0.027595948,0.8258082,0.14659582
1400509,1,0.011240108,0.14632319,0.8424367
1401026,36,0.011733561,0.10432581,0.88394064
1397705,30,0.010968469,0.21490794,0.77412355
1396525,-1,0.9892484,0.00794276,0.002808793
1393820,6,0.018439151,0.78731465,0.19424617
1392814,-1,0.95181495,0.046079963,0.0021050172
1399974,11,0.530201,0.46641085,0.003388157
1398606,18,0.027595948,0.8258082,0.1465958
1400481,0,0.03570082,0.56240165,0.4018975
1402595,-1,0.017266072,0.3361691,0.64656484
1396843,20,0.7938856,0.20125559,0.0048588547
1400961,18,0.027595948,0.8258082,0.14659582
1392105,33,0.29122075,0.70491546,0.0038638446
1399072,20,0.7938856,0.20125559,0.0048588547
1399383,24,0.01511139,0.33716288,0.6477257
1401726,-1,0.039403766,0.5847246,0.37587163
1396185,7,0.22304551,0.37822166,0.39873278
