text_id,date,labels,positive_score,neutral_score,negative_score
1080937,2023-03-01,19,0.07,0.75,0.18
1080938,2023-03-01,-1,0.94,0.06,0.0
1080940,2023-03-01,52,0.02,0.17,0.82
1080941,2023-03-01,167,0.21,0.63,0.16
1080943,2023-03-01,-1,0.07,0.46,0.47
1080944,2023-03-01,166,0.01,0.57,0.42
1080945,2023-03-01,-1,0.03,0.8,0.17
1080946,2023-03-01,-1,0.39,0.52,0.09
1080947,2023-03-01,168,0.11,0.45,0.44
1080948,2023-03-01,-1,0.54,0.45,0.01
1080950,2023-03-01,72,0.1,0.77,0.14
1080951,2023-03-01,123,0.02,0.21,0.77
1080985,2023-03-01,20,0.01,0.05,0.94
1080953,2023-03-01,-1,0.42,0.56,0.02
1080954,2023-03-01,37,0.69,0.29,0.02
1080955,2023-03-01,-1,0.98,0.02,0.0
1080956,2023-03-01,-1,0.1,0.9,0.0
1080957,2023-03-01,-1,0.08,0.78,0.14
1080958,2023-03-01,-1,0.05,0.94,0.01
1080959,2023-03-01,-1,0.01,0.65,0.34
1080960,2023-03-01,40,0.05,0.54,0.41
1080961,2023-03-01,186,0.01,0.1,0.88
1080962,2023-03-01,-1,0.01,0.65,0.34
1080963,2023-03-01,19,0.02,0.64,0.34
1080964,2023-03-01,183,0.01,0.37,0.62
1080965,2023-03-01,40,0.01,0.08,0.92
1080966,2023-03-01,-1,0.29,0.65,0.06
1080967,2023-03-01,-1,0.01,0.16,0.83
1080968,2023-03-01,39,0.47,0.52,0.01
1080969,2023-03-01,90,0.01,0.22,0.76
1080970,2023-03-01,-1,0.25,0.36,0.39
1080971,2023-03-01,-1,0.34,0.6,0.06
1080972,2023-03-01,20,0.02,0.16,0.82
1080973,2023-03-01,-1,0.03,0.95,0.02
1080974,2023-03-01,-1,0.01,0.47,0.52
1080975,2023-03-01,-1,0.04,0.48,0.49
1080976,2023-03-01,0,0.04,0.94,0.02
1080977,2023-03-01,159,0.53,0.46,0.01
1080978,2023-03-01,-1,0.01,0.06,0.93
1080979,2023-03-01,-1,0.16,0.71,0.13
1080980,2023-03-01,-1,0.02,0.93,0.05
1080981,2023-03-01,111,0.01,0.06,0.94
1080982,2023-03-01,111,0.01,0.08,0.91
1080983,2023-03-01,-1,0.01,0.2,0.79
1081149,2023-03-02,0,0.02,0.88,0.1
1080986,2023-03-01,-1,0.02,0.23,0.74
1080987,2023-03-01,-1,0.63,0.36,0.01
1080988,2023-03-01,-1,0.04,0.95,0.02
1080989,2023-02-28,-1,0.18,0.3,0.53
1080990,2023-02-28,7,0.02,0.7,0.29
1080991,2023-02-28,168,0.01,0.14,0.85
1080992,2023-02-28,-1,0.14,0.83,0.03
1080993,2023-02-28,-1,0.03,0.95,0.03
1080994,2023-02-28,98,0.03,0.92,0.05
1080995,2023-02-28,-1,0.01,0.2,0.79
1080996,2023-02-28,49,0.01,0.26,0.72
1080997,2023-02-28,-1,0.02,0.38,0.6
1080998,2023-02-28,40,0.66,0.33,0.01
1080999,2023-02-28,-1,0.1,0.32,0.58
1081000,2023-02-28,40,0.85,0.14,0.01
1081001,2023-02-28,40,0.74,0.24,0.02
1081002,2023-02-28,-1,0.07,0.42,0.5
1081003,2023-02-28,40,0.04,0.31,0.66
1081004,2023-02-28,-1,0.04,0.34,0.62
1081005,2023-02-28,-1,0.14,0.66,0.2
1081006,2023-02-28,20,0.02,0.32,0.66
1081007,2023-02-28,-1,0.9,0.08,0.02
1081008,2023-02-28,37,0.01,0.07,0.92
1081009,2023-02-28,-1,0.93,0.06,0.01
1081010,2023-02-28,22,0.01,0.13,0.86
1081011,2023-02-28,-1,0.04,0.2,0.76
1081012,2023-02-28,40,0.49,0.19,0.32
1081013,2023-02-28,-1,0.07,0.26,0.67
1081014,2023-02-28,-1,0.02,0.21,0.78
1081015,2023-02-28,40,0.11,0.54,0.36
1081016,2023-02-28,-1,0.03,0.44,0.53
1081018,2023-02-28,-1,0.74,0.23,0.03
1081019,2023-02-28,-1,0.09,0.9,0.01
1081020,2023-02-28,-1,0.02,0.4,0.59
1081021,2023-02-28,-1,0.44,0.56,0.0
